[NVGPUFREQ][INFO] The spank nvgpufreq plugin has been loaded!
[NVGPUFREQ][ERROR] Failed to retrive the job ID from slurmctld! Exit!
custom_proxy_start hostname=ganymede http=0.0.0.0:30176 registry=0.0.0.0:31176 kv_connector=NixlConnector default_route=random allow_asymmetric_tp=true predictive_dvfs=true dvfs_slo_ttft_ms=500 dvfs_slo_tpot_ms=200 dvfs_settle_seconds=20.0 routes=all_pairs
registry_add source=http role=decode http=10.1.0.3:33176 kv=10.1.0.3:34176 tp_size=1 reported_tp_size=1 instance=Decode_0 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33177 kv=10.1.0.3:34177 tp_size=1 reported_tp_size=1 instance=Decode_1 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33178 kv=10.1.0.3:34178 tp_size=2 reported_tp_size=2 instance=Decode_2 node=ganymede gpu_type=l4
registry_add source=http role=prefill http=10.1.0.5:32176 kv=10.1.0.5:34176 tp_size=1 reported_tp_size=1 instance=Prefill_0 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32177 kv=10.1.0.5:34177 tp_size=1 reported_tp_size=1 instance=Prefill_1 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32178 kv=10.1.0.5:34178 tp_size=2 reported_tp_size=2 instance=Prefill_2 node=uranus gpu_type=l40s
route count=8 policy_route=P0-D1 request_id=a7d722c5d73f4f139c4fd4cc6fa30f96 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=8 route=P0-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=9 policy_route=P2-D0 request_id=633edfec986746e2989a44883cc0e841 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=9 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=10 policy_route=P2-D2 request_id=4e59d0563eb14d11b0e7e3cd0ec90923 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=10 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.002 settle_seconds=20.0
route count=11 policy_route=P2-D2 request_id=97615cb4e16f412b895cd9add0bc6089 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=11 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=12 policy_route=P1-D1 request_id=9f3c1507462043cea2b6c2a2a44cf888 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=12 route=P1-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=13 policy_route=P1-D0 request_id=48f17a3781924f528c54cf95dbe69024 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=13 route=P1-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=14 policy_route=P1-D1 request_id=e012d532650b46e0ac080c361d3b6c90 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=14 route=P1-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.002 settle_seconds=20.0
route count=15 policy_route=P0-D2 request_id=c62b5d09551c4340a4abcb60764145b8 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=15 route=P0-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=497.8 predicted_tpot_ms=72.9 predicted_power_w=218.0 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=16 policy_route=P0-D1 request_id=28bffbf1bb2d466db913961078aead49 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=16 route=P0-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=17 policy_route=P0-D0 request_id=900f288f16ca4a9a9bca11292c209c48 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=17 route=P0-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=18 policy_route=P1-D2 request_id=b7207c69f4014f08be692ac811feb90f prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=18 route=P1-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=497.8 predicted_tpot_ms=72.9 predicted_power_w=218.0 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=19 policy_route=P1-D2 request_id=8bf16f530c1240b4acf8504b010b38d5 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=19 route=P1-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=497.8 predicted_tpot_ms=72.9 predicted_power_w=218.0 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=20 policy_route=P2-D1 request_id=82510d4ae7944ff2b6c515e5ef15e7a5 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=20 route=P2-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=21 policy_route=P2-D2 request_id=2a557a69be7045daa8dcbcc72b4da4c1 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=21 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=22 policy_route=P2-D2 request_id=cd171fbfe4654ab99ac6190d26526b31 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=22 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=23 policy_route=P2-D2 request_id=7924d1bef70649f38c362c9face20e42 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=23 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=24 policy_route=P2-D0 request_id=9739a837a145427295bb3f4323a02796 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=24 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=25 policy_route=P0-D2 request_id=81358198bbf14c2da5c9e7f6f8ec0cb4 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=25 route=P0-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=497.8 predicted_tpot_ms=72.9 predicted_power_w=218.0 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=26 policy_route=P2-D0 request_id=106a142584704d20b1a773aba4209cb7 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=26 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=27 policy_route=P2-D1 request_id=19204d3c75df491d8cf3d728cdc64cf1 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=27 route=P2-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=28 policy_route=P0-D0 request_id=7ff7c3e2ab474d1bb4f84fdf22b0c67c prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=28 route=P0-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=29 policy_route=P1-D1 request_id=ebdf9c6e681c4b00a07264a92a1132f9 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=29 route=P1-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.003 settle_seconds=20.0
route count=30 policy_route=P2-D1 request_id=7f457bf89b4c43a990e86ab3376cec03 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
